cancelled;onBehalf;jointProcurement;fraAgreement;accelerated;outOfDirectives;contractorSme;subContracted;gpa;renewal;awardEstimatedPrice;awardPrice;numberTenders;lotsNumber;numberTendersSme;contractDuration;publicityDuration
0;0;0;1;0;0;0;1;0;0;238902,93;154975,81;4,6;32,05;3,46;31,25;41,82
0;1;1;1;0;0;0;0;0;1;132517,85;146200,09;10,75;37,6;0,94;18,2;38,67
0;0;0;0;1;0;1;0;0;0;150000,0;98780,62;2,38;7,08;6,0;8,5;15,62
0;1;1;1;0;0;0;0;1;0;181233,66;170390,88;3,84;7,63;1,77;42,7;38,24
0;0;0;0;1;0;1;1;1;1;0,0;1134,0;3,0;4,0;0,0;12,0;32,0
0;0;0;0;0;0;0;1;0;1;175743,45;211078,31;3,62;15,54;1,58;26,75;42,21
0;1;0;1;0;0;1;1;0;0;230000,0;90000,0;3,0;13,0;3,0;0,0;0,0
0;1;0;1;0;0;1;0;1;1;377837,76;324033,11;3,06;42,33;2,66;34,36;53,9
0;0;0;0;0;0;0;0;1;0;150465,08;141281,28;4,65;8,23;1,39;31,58;45,41
0;1;1;0;0;0;0;1;1;0;198106,7;219279,66;4,03;3,89;2,53;43,98;40,71
0;1;1;1;0;0;1;0;1;1;117679,15;141709,41;5,11;18,29;2,72;18,51;40,23
0;0;0;1;1;0;0;1;1;1;0,0;374691,0;3,0;1,83;0,0;10,5;28,0
0;1;0;0;0;0;0;1;1;0;198918,04;199003,74;5,32;7,33;0,0;26,01;45,59
0;0;0;0;0;0;0;1;1;1;253422,33;223618,37;3,91;6,71;3,91;24,24;42,72
0;1;1;1;0;0;0;1;1;0;475046,06;293902,29;2,9;4,91;2,0;43,24;41,08
0;1;1;0;0;0;1;1;0;1;416846,67;354450,52;9,09;3,74;1,0;14,57;40,22
0;1;1;1;1;0;0;0;0;1;0,0;336837,58;14,74;58,42;0,0;12,0;20,53
0;1;0;0;0;0;0;0;1;1;125601,28;118838,47;4,47;11,89;0,67;23,64;46,53
0;1;1;0;1;0;1;0;1;0;171666,67;205530,47;3,8;3,73;1,75;23,0;26,2
0;0;0;0;1;0;0;0;1;1;222621,36;198553,19;4,41;3,82;4,12;18,6;32,08
0;1;0;0;0;0;1;1;1;1;465980,0;492440,0;5,44;4,22;1,0;45,11;37,56
0;0;0;0;0;0;0;1;1;0;200724,1;224854,66;4,29;10,27;2,18;29,24;43,39
0;1;1;1;0;0;1;0;1;0;147230,26;186728,32;4,65;12,98;2,99;43,53;40,59
0;1;0;1;0;0;1;0;1;0;279917,22;162043,2;3,17;7,55;2,86;45,55;43,13
0;0;0;1;0;0;0;0;1;0;153906,37;139143,41;6,02;13,59;1,13;35,17;45,2
