cancelled;onBehalf;jointProcurement;fraAgreement;accelerated;outOfDirectives;contractorSme;subContracted;gpa;renewal;awardEstimatedPrice;awardPrice;numberTenders;lotsNumber;numberTendersSme;contractDuration;publicityDuration
0;0;0;1;0;0;0;1;0;0;72148685;213246709;6328;44094;83;13093;19196
0;1;1;1;0;0;0;0;0;1;12059124;91667455;6741;23575;15;10226;24248
0;0;0;0;1;0;1;0;0;0;150000;2370735;57;170;6;170;328
0;1;1;1;0;0;0;0;1;0;38059068;204298669;4610;9146;101;30318;28145
0;0;0;0;1;0;1;1;1;1;0;1134;3;4;0;12;32
0;0;0;0;0;0;0;1;0;1;53426008;259204159;4450;19088;19;29401;51626
0;1;0;1;0;0;1;1;0;0;230000;90000;3;13;3;0;0
0;1;0;1;0;0;1;0;1;1;207055093;258902454;2448;33821;365;24154;43070
0;0;0;0;0;0;0;0;1;0;2458448926;13073887525;430724;761768;3029;1518891;2864297
0;1;1;0;0;0;0;1;1;0;4556454;25217161;464;447;38;4222;3990
0;1;1;1;0;0;1;0;1;1;67547832;453470108;16352;58540;980;54277;128286
0;0;0;1;1;0;0;1;1;1;0;2248146;18;11;0;63;168
0;1;0;0;0;0;0;1;1;0;19692886;67263265;1798;2479;0;3928;8935
0;0;0;0;0;0;0;1;1;1;138875439;681588786;11929;20455;438;61226;130087
0;1;1;1;0;0;0;1;1;0;7600737;29096327;287;486;8;2681;2711
0;1;1;0;0;0;1;1;0;1;2501080;8152362;209;86;1;335;925
0;1;1;1;1;0;0;0;0;1;0;6399914;280;1110;0;228;390
0;1;0;0;0;0;0;0;1;1;37680384;177425843;6673;17758;8;31417;69468
0;1;1;0;1;0;1;0;1;0;1030000;3082957;57;56;7;230;262
0;0;0;0;1;0;0;0;1;1;4897670;22039404;489;424;33;1953;3561
0;1;0;0;0;0;1;1;1;1;931960;4431960;49;38;1;406;338
0;0;0;0;0;0;0;1;1;0;399440957;2041455489;38970;93266;335;132216;261218
0;1;1;1;0;0;1;0;1;0;25176374;128282353;3192;8915;323;21329;21718
0;1;0;1;0;0;1;0;1;0;6438096;20579487;403;959;40;4509;5219
0;0;0;1;0;0;0;0;1;0;1623250530;5603583500;242568;547203;1503;822681;1189898
0;1;0;0;0;0;0;0;0;0;55012265;273359293;9324;13322;0;28098;46041
0;1;1;1;1;0;1;0;1;1;70000;1520748;88;50;22;296;653
0;1;0;1;0;0;0;1;1;0;5506672;37113673;669;948;4;1860;2525
0;1;1;0;0;0;0;1;0;1;0;3491616;109;68;0;180;454
0;0;0;0;1;0;1;0;0;1;372565;1445758;52;99;4;336;685
0;0;0;0;1;0;0;0;1;0;19164182;35134377;499;400;7;3174;3952
0;0;0;1;0;0;1;1;1;1;190620368;791631287;15804;19860;1197;67462;146396
0;1;1;0;0;0;0;0;0;1;24501579;77304643;4771;8435;38;12723;21559
0;1;0;1;0;0;1;1;0;1;0;1041510;57;148;0;120;83
0;0;0;0;0;0;1;0;0;0;257364176;1570060393;59137;109807;5382;131306;224828
0;1;1;0;0;0;1;0;1;0;19047241;119192551;3084;6295;357;21184;27482
0;1;1;0;0;0;0;0;1;0;43122823;273297338;8629;17806;171;86314;82151
0;1;1;1;0;0;0;1;1;1;12950699;55236817;1091;1573;204;4961;10261
0;0;0;1;0;0;0;0;1;1;2145731203;7353208910;302137;676855;3988;1103940;2205624
0;0;0;0;1;0;1;1;1;0;0;5428949;65;218;0;306;458
0;1;1;1;0;0;0;0;0;0;3953123;45831977;2098;3772;12;5471;7589
0;1;1;0;0;0;0;0;1;1;51540664;307646819;10831;32590;446;50526;96966
0;1;1;0;0;0;1;0;0;1;18926052;41219388;1739;3422;250;3996;8607
0;1;0;0;0;0;1;0;0;0;1080000;9426931;445;968;3;144;81
0;0;0;0;1;0;0;0;0;0;3320215;7326122;155;257;0;177;214
0;1;0;1;0;0;0;1;1;1;10992572;26197599;386;575;0;1445;3674
0;0;0;0;0;0;1;1;1;0;125472365;942597584;14961;33885;772;65638;121415
0;0;0;1;1;0;0;1;0;1;200000;75806;3;1;0;48;30
0;1;0;1;0;0;0;0;1;0;80746042;267805264;14992;23338;18;36570;68681
0;1;0;1;0;0;0;1;0;0;633000;13033994;94;221;0;181;500
0;1;0;0;0;0;1;1;1;0;100000;663538;9;10;0;36;159
0;1;1;0;0;0;0;1;0;0;350000;5101448;62;74;2;406;322
0;0;0;0;1;0;0;1;1;0;1554000;3381305;25;48;0;193;204
0;0;0;1;0;0;0;0;0;0;359486513;1354640188;60928;196385;347;122753;221787
0;0;0;1;1;0;1;0;1;0;1232600;6851456;244;115;21;238;312
0;0;0;1;1;0;0;0;1;0;3028000;7472687;184;83;5;615;487
0;1;0;1;0;0;1;1;1;1;7269000;11138238;205;147;9;900;2090
0;1;1;1;0;0;1;0;0;1;7318766;89941718;11942;22257;68;8405;20979
0;0;0;1;1;0;1;0;0;1;1140000;2078042;242;1064;2;312;972
0;0;0;0;1;0;1;0;1;0;12017902;38127359;620;1765;219;2440;3290
0;1;0;1;0;0;1;0;0;1;1620000;20581812;1485;5025;0;4438;5014
0;1;0;1;0;0;1;0;0;0;2870401;3941064;65;123;32;540;420
0;1;1;0;0;0;1;1;0;0;260000;9061054;90;223;0;624;847
0;1;1;1;1;0;1;0;0;1;0;2393845;88;844;0;192;320
0;1;1;1;0;0;1;1;0;0;0;2016422;33;15;9;108;120
0;0;0;1;0;0;1;0;1;0;460229373;1547648498;49869;110220;5075;265584;297612
0;1;1;1;1;0;0;0;1;0;0;497067;5;3;0;96;63
0;1;1;1;1;0;1;0;1;0;0;962918;44;30;0;528;343
0;1;0;1;0;0;1;1;1;0;1840000;5704549;49;86;7;987;887
0;0;0;1;0;0;0;1;1;0;251906906;773755799;15413;60509;171;79215;99379
0;1;0;1;0;0;0;0;0;1;18286149;49131606;1167;15589;0;6269;12261
0;0;0;0;0;0;1;0;0;1;118792469;541352701;56569;77041;8902;105782;212213
0;0;0;0;0;0;1;1;0;0;29219811;277358354;7772;13157;421;13809;25497
0;1;1;1;0;0;1;1;1;0;3263786;18641738;733;273;27;3207;3205
0;0;0;0;0;0;0;0;0;0;1935440967;8334158639;359378;654874;1764;777486;1655088
