Number;Frequency
0;155821
20000;64681
40000;44120
60000;31595
80000;25511
100000;21098
120000;18380
140000;14832
160000;12720
180000;10485
200000;12563
220000;7895
240000;8766
260000;6142
280000;6130
300000;6454
320000;5253
340000;4690
360000;4315
380000;3545
400000;6011
420000;3079
440000;3280
460000;2712
480000;3184
500000;3699
520000;2197
540000;2056
560000;1953
580000;1836
600000;3366
620000;1580
640000;1865
660000;1427
680000;1455
700000;1607
720000;1450
740000;1426
760000;1020
780000;1188
800000;2604
820000;1052
840000;1081
860000;855
880000;999
900000;1059
920000;816
940000;854
960000;827
980000;2736
