Number;Frequency
0;86975
2;196909
4;120381
6;51009
8;23031
10;11225
12;5915
14;3894
16;3013
18;2183
20;1638
22;1453
24;1351
26;1353
28;1048
30;934
32;737
34;744
36;534
38;474
40;486
42;623
44;394
46;492
48;352
50;514
52;346
54;440
56;255
58;342
60;315
62;373
64;134
66;178
68;161
70;490
72;110
74;40
76;171
78;420
80;157
82;174
84;206
86;39
88;148
90;114
92;30
94;166
96;80
98;203
100;255
102;195
104;89
106;125
108;207
110;4
112;417
114;15
116;140
118;69
