Number;Frequency
0;4853
1;7173
2;5387
3;3946
4;2338
5;1509
6;881
7;523
8;436
9;307
10;161
11;121
12;101
13;72
14;60
15;72
16;47
17;30
18;15
19;13
20;9
21;13
22;62
23;12
24;5
25;19
26;0
27;37
28;18
29;1
30;3
31;2
32;31
33;0
34;0
35;1
36;1
37;0
38;9
39;1
40;18
41;0
42;0
43;31
44;0
45;0
46;0
47;1
48;0
49;0
50;1
51;0
52;31
53;0
54;1
55;0
56;0
57;0
58;0
59;3
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;33
69;0
70;30
71;0
72;0
73;0
74;0
75;0
76;21
