Number;Frequency
0;42553
20000;19347
40000;13547
60000;9527
80000;7984
100000;6834
120000;5844
140000;5126
160000;4274
180000;3484
200000;4989
220000;2631
240000;3551
260000;2096
280000;2100
300000;2915
320000;1918
340000;1926
360000;1566
380000;1117
400000;2773
420000;1009
440000;1253
460000;793
480000;1099
500000;1732
520000;767
540000;785
560000;616
580000;577
600000;1579
620000;566
640000;680
660000;539
680000;464
700000;800
720000;575
740000;592
760000;363
780000;353
800000;1219
820000;392
840000;373
860000;266
880000;297
900000;498
920000;255
940000;259
960000;282
980000;1255
