Number;Frequency
0;153841
2;341158
4;218205
6;95441
8;44838
10;22970
12;13024
14;8669
16;6616
18;4417
20;3593
22;3404
24;2866
26;2496
28;2233
30;1972
32;1258
34;1590
36;1239
38;1341
40;1107
42;1232
44;951
46;1049
48;894
50;907
52;776
54;912
56;789
58;565
60;733
62;788
64;343
66;314
68;337
70;840
72;331
74;123
76;363
78;737
80;541
82;251
84;390
86;576
88;462
90;318
92;237
94;190
96;370
98;324
100;360
102;409
104;167
106;264
108;404
110;13
112;609
114;252
116;385
118;95
