Number;Frequency
0;8015
1;11250
2;7943
3;5921
4;3524
5;2212
6;1378
7;825
8;611
9;473
10;256
11;212
12;145
13;115
14;120
15;205
16;96
17;44
18;26
19;28
20;14
21;39
22;69
23;15
24;7
25;21
26;7
27;38
28;19
29;2
30;4
31;3
32;32
33;0
34;4
35;2
36;11
37;0
38;9
39;1
40;27
41;1
42;2
43;33
44;0
45;0
46;0
47;1
48;0
49;0
50;1
51;0
52;61
53;1
54;1
55;0
56;0
57;0
58;1
59;19
60;1
61;0
62;0
63;1
64;0
65;1
66;0
67;0
68;61
69;0
70;69
71;0
72;0
73;0
74;0
75;0
76;49
