Number;Frequency
0;22
2;42
4;86
6;70
8;218
10;273
12;408
14;3218
16;8263
18;6051
20;12589
22;10522
24;13521
26;10924
28;16425
30;56301
32;76685
34;72672
36;37868
38;38311
40;112820
42;144259
44;58930
46;55361
48;52948
50;25210
52;43231
54;34284
56;29823
58;16497
60;15251
62;15348
64;8447
66;8111
68;7287
70;7898
72;4861
74;4754
76;4283
78;2851
80;4105
82;2050
84;2168
86;1438
88;1168
90;1312
92;1200
94;704
96;551
98;541
100;387
102;421
104;442
106;174
108;112
110;85
112;167
114;101
116;39
118;142
